Category,Linked_GDPR_Articles,Linked_GDPR_Principles,Linked_GDPR_Obligations,Linked_DPDP_Sections,Linked_controls
First Party Collection/Use,,,,,
Third Party Sharing/Collection,"Art.10: Processing of personal data relating to criminal convictions and offences; Art.11: Processing which does not require identification; Art.24: Responsibility of the controller; Art.25: Data protection by design and by default; Art.30: Records of processing activities; Art.33: Notification of a personal data breach to the supervisory authority; Art.34: Communication of a personal data breach to the data subject; Art.35: Data protection impact assessment; Art.36: Prior consultation; Art.37: Designation of the data protection officer; Art.38: Position of the data protection officer; Art.39: Tasks of the data protection officer; Art.5: Principles relating to processing of personal data; Art.6: Lawfulness of processing; Art.7: Conditions for consent; Art.89: Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes; Art.8: Conditions applicable to child's consent in relation to information society services; Art.91: Existing data protection rules of churches and religious associations; Art.95: Relationship with Directive 2002/58/EC; Art.9: Processing of special categories of personal data",,Communicate data breaches to affected data subjects; Conduct data protection impact assessments for high-risk processing; Core principles of lawful personal data processing; Demonstrate and manage valid consent; Designate and support data protection officer tasks; Implement appropriate technical and organisational measures; Implement data protection by design and by default; Lawfulness conditions for processing personal data; Maintain records of processing activities; Notify supervisory authority of data breaches within 72 hours; Obtain verifiable parental consent for children's data; Prior consultation with supervisory authority for high-risk processing; Restrict processing of special category data,Section 10; Section 11; Section 13; Section 16; Section 19; Section 2; Section 24; Section 25; Section 3; Section 35; Section 36; Section 39; Section 4; Section 5; Section 6; Section 7; Section 8; Section 9,; DPDP-02; DPDP-03; DPDP-04; DPDP-05; DPDP-07; DPDP-09; DPDP-10; DPDP-11; DPDP-13; DPDP-16; DPDP-19; DPDP-31; GDPR-14; GDPR-22; GDPR-24; GDPR-25; GDPR-35; GDPR-36
User Choice/Control,Art.19: Notification obligation regarding rectification or erasure of personal data or restriction of processing; Art.28: Processor; Art.29: Processing under the authority of the controller or processor; Art.30: Records of processing activities; Art.37: Designation of the data protection officer; Art.38: Position of the data protection officer; Art.39: Tasks of the data protection officer; Art.44: General principle for transfers; Art.45: Transfers on the basis of an adequacy decision; Art.46: Transfers subject to appropriate safeguards; Art.47: Binding corporate rules; Art.48: Transfers or disclosures not authorised by Union law; Art.49: Derogations for specific situations; Art.6: Lawfulness of processing; Art.96: Relationship with previously concluded Agreements; Art.9: Processing of special categories of personal data,,Designate and support data protection officer tasks; Govern processor relationships via written agreements; Lawfulness conditions for processing personal data; Maintain records of processing activities; Notify recipients of rectification/erasure; Process data only under controller authority; Restrict international data transfers without safeguards; Restrict processing of special category data; Transfer based on adequacy decisions; Transfer with appropriate safeguards,Section 11; Section 16; Section 19; Section 2; Section 28; Section 39; Section 5; Section 6; Section 7; Section 8; Section 9,; DPDP-02; DPDP-03; DPDP-04; DPDP-05; DPDP-07; DPDP-09; DPDP-11; DPDP-16; DPDP-19; DPDP-29; GDPR-14
"User Access, Edit and Deletion",Art.13: Information to be provided where personal data are collected from the data subject; Art.14: Information to be provided where personal data have not been obtained from the data subject; Art.17: Right to erasure (‘right to be forgotten’); Art.18: Right to restriction of processing; Art.20: Right to data portability; Art.21: Right to object; Art.26: Joint controllers; Art.49: Derogations for specific situations; Art.6: Lawfulness of processing; Art.77: Right to lodge a complaint with a supervisory authority; Art.78: Right to an effective judicial remedy against a supervisory authority; Art.79: Right to an effective judicial remedy against a controller or processor; Art.7: Conditions for consent; Art.80: Representation of data subjects; Art.82: Right to compensation and liability; Art.8: Conditions applicable to child's consent in relation to information society services; Art.9: Processing of special categories of personal data,,Demonstrate and manage valid consent; Determine responsibilities of joint controllers; Enable data portability rights; Enable erasure of personal data (right to be forgotten); Honor right to object to processing; Lawfulness conditions for processing personal data; Obtain verifiable parental consent for children's data; Provide information at point of data collection from data subject; Provide information when data not obtained from data subject; Restrict processing of special category data,Section 11; Section 14; Section 16; Section 19; Section 2; Section 20; Section 21; Section 26; Section 4; Section 41; Section 5; Section 6; Section 7; Section 8; Section 9,; DPDP-02; DPDP-03; DPDP-04; DPDP-05; DPDP-07; DPDP-09; DPDP-11; DPDP-14; DPDP-16; DPDP-17; DPDP-19; DPDP-31; DPDP-43; GDPR-14; GDPR-21; GDPR-26
Data Retention,"Art.11: Processing which does not require identification; Art.12: Transparent information, communication and modalities for the exercise of the rights of the data subject; Art.13: Information to be provided where personal data are collected from the data subject; Art.14: Information to be provided where personal data have not been obtained from the data subject; Art.15: Right of access by the data subject; Art.16: Right to rectification; Art.17: Right to erasure (‘right to be forgotten’); Art.18: Right to restriction of processing; Art.19: Notification obligation regarding rectification or erasure of personal data or restriction of processing; Art.20: Right to data portability; Art.21: Right to object; Art.22: Automated individual decision-making, including profiling; Art.25: Data protection by design and by default",,Enable data portability rights; Enable erasure of personal data (right to be forgotten); Enable rectification of inaccurate personal data; Grant data subjects right to access their personal data; Honor right to object to processing; Implement data protection by design and by default; Notify recipients of rectification/erasure; Provide information at point of data collection from data subject; Provide information when data not obtained from data subject; Provide transparent information and communication to data subjects; Restrictions on automated decision-making and profiling,Section 12; Section 14; Section 19; Section 2; Section 20; Section 21; Section 22; Section 25; Section 36; Section 4; Section 40; Section 41; Section 5; Section 6; Section 7; Section 8,; DPDP-02; DPDP-03; DPDP-04; DPDP-05; DPDP-07; DPDP-14; DPDP-17; DPDP-19; DPDP-31; DPDP-43; GDPR-12; GDPR-14; GDPR-21; GDPR-22; GDPR-25
Data Security,Art.25: Data protection by design and by default; Art.30: Records of processing activities; Art.5: Principles relating to processing of personal data,Art.5(1(e)): Storage Limitation,Core principles of lawful personal data processing; Implement data protection by design and by default; Maintain records of processing activities,Section 19; Section 25; Section 7; Section 8,DPDP-19; GDPR-25
Policy Change,"Art.12: Transparent information, communication and modalities for the exercise of the rights of the data subject; Art.24: Responsibility of the controller; Art.25: Data protection by design and by default; Art.28: Processor; Art.30: Records of processing activities; Art.32: Security of Processing; Art.33: Notification of a personal data breach to the supervisory authority; Art.34: Communication of a personal data breach to the data subject; Art.35: Data protection impact assessment; Art.36: Prior consultation; Art.45: Transfers on the basis of an adequacy decision; Art.5: Principles relating to processing of personal data; Art.6: Lawfulness of processing; Art.89: Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",Art.5(1(f)): Integrity and Confidentiality,Communicate data breaches to affected data subjects; Conduct data protection impact assessments for high-risk processing; Core principles of lawful personal data processing; Govern processor relationships via written agreements; Implement appropriate security of processing; Implement appropriate technical and organisational measures; Implement data protection by design and by default; Lawfulness conditions for processing personal data; Maintain records of processing activities; Notify supervisory authority of data breaches within 72 hours; Prior consultation with supervisory authority for high-risk processing; Provide transparent information and communication to data subjects; Transfer based on adequacy decisions,Section 10; Section 11; Section 12; Section 13; Section 16; Section 19; Section 2; Section 24; Section 25; Section 28; Section 3; Section 32; Section 35; Section 36; Section 4; Section 40; Section 5; Section 6; Section 7; Section 8; Section 9,; DPDP-02; DPDP-03; DPDP-04; DPDP-05; DPDP-07; DPDP-09; DPDP-10; DPDP-11; DPDP-13; DPDP-19; DPDP-29; DPDP-31; GDPR-12; GDPR-14; GDPR-22; GDPR-24; GDPR-25; GDPR-35; GDPR-36
Do Not Track,,,,,
International and Specific Audiences,,,,,
Other,Art.8: Conditions applicable to child's consent in relation to information society services,,Obtain verifiable parental consent for children's data,,
